k,b,m,value
9,120,15,0.004
9,120,20,0.013999999999999999
9,120,25,0.008
9,120,30,0.023
9,120,35,0.024
9,120,40,0.045
9,120,45,0.059000000000000004
9,120,50,0.11
9,128,10,0.0
9,128,15,0.0
9,128,20,0.0
9,128,25,0.0
9,128,30,0.0
9,128,35,0.006
9,128,40,0.006999999999999999
9,128,45,0.013
9,128,50,0.034999999999999996
10,16,10,0.25
10,16,15,3.457
10,16,20,8.48
10,16,25,17.419
10,16,30,36.725
10,16,35,38.844
10,16,40,41.101
10,16,45,49.405
10,16,50,70.259
10,24,10,0.053
10,24,15,0.473
10,24,20,0.8250000000000001
10,24,25,1.26
10,24,30,5.708
10,24,35,5.649
10,24,40,12.217
10,24,45,14.451
10,24,50,27.852
10,32,10,0.083
10,32,15,0.19499999999999998
10,32,20,0.45799999999999996
10,32,25,1.451
10,32,30,3.1879999999999997
10,32,35,6.628
10,32,40,6.013
10,32,45,7.727
10,32,50,15.872
10,40,10,0.004
10,40,15,0.011000000000000001
10,40,20,0.042
10,40,25,0.109
10,40,30,0.23800000000000002
10,40,35,0.666
10,40,40,1.437
10,40,45,2.03
10,40,50,3.965
10,48,10,0.026
10,48,15,0.056999999999999995
10,48,20,0.08099999999999999
10,48,25,0.151
10,48,30,0.569
10,48,35,0.655
10,48,40,1.955
10,48,45,1.432
10,48,50,2.807
10,56,10,0.001
10,56,15,0.01
10,56,20,0.07200000000000001
10,56,25,0.051000000000000004
10,56,30,0.24
10,56,35,0.16999999999999998
10,56,40,0.549
10,56,45,0.543
10,56,50,1.505
10,64,10,0.003
10,64,15,0.008
10,64,20,0.07200000000000001
10,64,25,0.043
10,64,30,0.06
10,64,35,0.164
10,64,40,0.35100000000000003
10,64,45,0.8789999999999999
10,64,50,1.191
10,72,10,0.001
10,72,15,0.001
10,72,20,0.005
10,72,25,0.005
10,72,30,0.016
10,72,35,0.033
10,72,40,0.093
10,72,45,0.127
10,72,50,0.257
10,80,10,0.001
10,80,15,0.001
10,80,20,0.004
10,80,25,0.012
10,80,30,0.024
10,80,35,0.041
10,80,40,0.06899999999999999
10,80,45,0.181
10,80,50,0.203
10,88,10,0.0
10,88,15,0.0
10,88,20,0.0
10,88,25,0.0
10,88,30,0.002
10,88,35,0.003
10,88,40,0.009000000000000001
10,88,45,0.023
10,88,50,0.04
10,96,10,0.0
10,96,15,0.015
10,96,20,0.08800000000000001
10,96,25,0.13
10,96,30,0.08800000000000001
10,96,35,0.133
10,96,40,0.216
10,96,45,0.232
10,96,50,0.372
10,104,10,0.0
10,104,15,0.001
10,104,20,0.0
10,104,25,0.0
10,104,30,0.0
10,104,35,0.004
10,104,40,0.002
10,104,45,0.001
10,104,50,0.02
10,112,10,0.003
10,112,15,0.003
10,112,20,0.019
10,112,25,0.009000000000000001
10,112,30,0.027999999999999997
10,112,35,0.055999999999999994
10,112,40,0.054
10,112,45,0.092
10,112,50,0.148
10,120,10,0.001
10,120,15,0.005
10,120,20,0.01
10,120,25,0.004
10,120,30,0.01
10,120,35,0.02
10,120,40,0.03
10,120,45,0.023
10,120,50,0.052
10,128,10,0.0
10,128,15,0.001
10,128,20,0.003
10,128,25,0.0
10,128,30,0.002
10,128,35,0.006
10,128,40,0.01
10,128,45,0.0
10,128,50,0.036000000000000004
11,16,10,0.619
11,16,15,1.779
11,16,20,7.788
11,16,25,6.5009999999999994
11,16,30,17.315
11,16,35,41.606
11,16,40,37.303999999999995
11,16,45,56.875
11,16,50,67.213
11,24,10,0.027
11,24,15,0.395
11,24,20,0.761
11,24,25,2.731
11,24,30,7.742
11,24,35,9.722
11,24,40,14.475999999999999
11,24,45,11.086
11,24,50,20.485
11,32,10,0.077
11,32,15,0.24
11,32,20,0.37
11,32,25,1.8290000000000002
11,32,30,2.956
11,32,35,5.938000000000001
11,32,40,8.036
11,32,45,8.501
11,32,50,16.3
11,40,10,0.0
11,40,15,0.01
11,40,20,0.036000000000000004
11,40,25,0.092
11,40,30,0.20400000000000001
11,40,35,0.7080000000000001
11,40,40,1.295
11,40,45,2.911
11,40,50,3.288
11,48,10,0.013999999999999999
11,48,15,0.053
11,48,20,0.183
11,48,25,0.332
11,48,30,0.516
11,48,35,0.656
11,48,40,1.137
11,48,45,1.224
11,48,50,3.085
11,56,10,0.001
11,56,15,0.008
11,56,20,0.008
11,56,25,0.032
11,56,30,0.11499999999999999
11,56,35,0.22100000000000003
11,56,40,0.594
11,56,45,0.634
11,56,50,1.9290000000000003
11,64,10,0.004
11,64,15,0.01
11,64,20,0.004
11,64,25,0.039
11,64,30,0.146
11,64,35,0.135
11,64,40,0.28500000000000003
11,64,45,0.481
11,64,50,1.324
11,72,10,0.0
11,72,15,0.0
11,72,20,0.003
11,72,25,0.0
11,72,30,0.008
11,72,35,0.027
11,72,40,0.055
11,72,45,0.08
11,72,50,0.13899999999999998
11,80,10,0.0
11,80,15,0.002
11,80,20,0.011000000000000001
11,80,25,0.012
11,80,30,0.013999999999999999
11,80,35,0.039
11,80,40,0.06
11,80,45,0.109
11,80,50,0.13699999999999998
11,88,10,0.0
11,88,15,0.0
11,88,20,0.0
11,88,25,0.0
11,88,30,0.0
11,88,35,0.005
11,88,40,0.003
11,88,45,0.021
11,88,50,0.034999999999999996
11,96,10,0.002
11,96,15,0.038
11,96,20,0.048
11,96,25,0.059000000000000004
11,96,30,0.078
11,96,35,0.11399999999999999
11,96,40,0.259
11,96,45,0.35500000000000004
11,96,50,0.672
11,104,10,0.001
11,104,15,0.0
11,104,20,0.0
11,104,25,0.0
11,104,30,0.0
11,104,35,0.001
11,104,40,0.0
11,104,45,0.002
11,104,50,0.011000000000000001
11,112,10,0.002
11,112,15,0.004
11,112,20,0.006999999999999999
11,112,25,0.006
11,112,30,0.018000000000000002
11,112,35,0.02
11,112,40,0.061
11,112,45,0.201
11,112,50,0.10300000000000001
11,120,10,0.001
11,120,15,0.005
11,120,20,0.003
11,120,25,0.005
11,120,30,0.006999999999999999
11,120,35,0.008
11,120,40,0.023
11,120,45,0.033
11,120,50,0.051000000000000004
11,128,10,0.001
11,128,15,0.003
11,128,20,0.002
11,128,25,0.001
11,128,30,0.002
11,128,35,0.008
11,128,40,0.006
11,128,45,0.005
11,128,50,0.016
12,16,10,0.7040000000000001
12,16,15,2.5989999999999998
12,16,20,8.315999999999999
12,16,25,3.949
12,16,30,12.095
12,16,35,20.189
12,16,40,50.026
12,16,45,43.701
12,16,50,70.693
12,24,10,0.054
12,24,15,0.178
12,24,20,0.614
12,24,25,1.879
12,24,30,3.1649999999999996
12,24,35,3.5450000000000004
12,24,40,7.011000000000001
12,24,45,21.451
12,24,50,25.332
12,32,10,0.041
12,32,15,0.044000000000000004
12,32,20,0.592
12,32,25,0.9990000000000001
12,32,30,1.66
12,32,35,4.712000000000001
12,32,40,4.9270000000000005
12,32,45,7.422
12,32,50,10.541
12,40,10,0.002
12,40,15,0.013999999999999999
12,40,20,0.006999999999999999
12,40,25,0.052
12,40,30,0.22200000000000003
12,40,35,0.333
12,40,40,0.571
12,40,45,1.472
12,40,50,2.311
12,48,10,0.005
12,48,15,0.016
12,48,20,0.042
12,48,25,0.124
12,48,30,0.27
12,48,35,0.54
12,48,40,0.7929999999999999
12,48,45,2.697
12,48,50,1.538
12,56,10,0.001
12,56,15,0.022000000000000002
12,56,20,0.004
12,56,25,0.065
12,56,30,0.036000000000000004
12,56,35,0.098
12,56,40,0.254
12,56,45,0.383
12,56,50,0.526
12,64,10,0.001
12,64,15,0.004
12,64,20,0.012
12,64,25,0.019
12,64,30,0.038
12,64,35,0.06899999999999999
12,64,40,0.22799999999999998
12,64,45,0.174
12,64,50,0.322
12,72,10,0.0
12,72,15,0.0
12,72,20,0.0
12,72,25,0.001
12,72,30,0.011000000000000001
12,72,35,0.01
12,72,40,0.034
12,72,45,0.024
12,72,50,0.094
12,80,10,0.001
12,80,15,0.001
12,80,20,0.0
12,80,25,0.006
12,80,30,0.012
12,80,35,0.022000000000000002
12,80,40,0.033
12,80,45,0.053
12,80,50,0.059000000000000004
12,88,10,0.0
12,88,15,0.0
12,88,20,0.0
12,88,25,0.0
12,88,30,0.0
12,88,35,0.0
12,88,40,0.001
12,88,45,0.003
12,88,50,0.006999999999999999
12,96,10,0.006
12,96,15,0.006
12,96,20,0.011000000000000001
12,96,25,0.047
12,96,30,0.064
12,96,35,0.098
12,96,40,0.099
12,96,45,0.145
12,96,50,0.215
12,104,10,0.001
12,104,15,0.0
12,104,20,0.001
12,104,25,0.0
12,104,30,0.0
12,104,35,0.0
12,104,40,0.001
12,104,45,0.001
12,104,50,0.005
12,112,10,0.002
12,112,15,0.002
12,112,20,0.003
12,112,25,0.011000000000000001
12,112,30,0.003
12,112,35,0.021
12,112,40,0.087
12,112,45,0.024
12,112,50,0.06899999999999999
12,120,10,0.0
12,120,15,0.003
12,120,20,0.0
12,120,25,0.001
12,120,30,0.004
12,120,35,0.015
12,120,40,0.012
12,120,45,0.034
12,120,50,0.029
12,128,10,0.0
12,128,15,0.0
12,128,20,0.0
12,128,25,0.0
12,128,30,0.001
12,128,35,0.003
12,128,40,0.006999999999999999
12,128,45,0.006999999999999999
12,128,50,0.008
13,16,10,0.28500000000000003
13,16,15,2.606
13,16,20,1.8659999999999999
13,16,25,11.343
13,16,30,17.314
13,16,35,33.809
13,16,40,36.509
13,16,45,45.643
13,16,50,59.028999999999996
13,24,10,0.009000000000000001
13,24,15,0.034
13,24,20,0.383
13,24,25,0.5930000000000001
13,24,30,2.686
13,24,35,6.176
13,24,40,8.529
13,24,45,13.785
13,24,50,21.098
13,32,10,0.027999999999999997
13,32,15,0.033
13,32,20,0.20500000000000002
13,32,25,0.464
13,32,30,1.729
13,32,35,2.732
13,32,40,4.229
13,32,45,6.279999999999999
13,32,50,10.864
13,40,10,0.0
13,40,15,0.0
13,40,20,0.027
13,40,25,0.011000000000000001
13,40,30,0.11399999999999999
13,40,35,0.32399999999999995
13,40,40,0.35000000000000003
13,40,45,0.979
13,40,50,0.98
13,48,10,0.002
13,48,15,0.017
13,48,20,0.008
13,48,25,0.16199999999999998
13,48,30,0.15
13,48,35,0.391
13,48,40,0.47000000000000003
13,48,45,0.9570000000000001
13,48,50,1.839
13,56,10,0.002
13,56,15,0.003
13,56,20,0.013
13,56,25,0.021
13,56,30,0.029
13,56,35,0.06999999999999999
13,56,40,0.163
13,56,45,0.19499999999999998
13,56,50,0.36
13,64,10,0.001
13,64,15,0.002
13,64,20,0.003
13,64,25,0.019
13,64,30,0.02
13,64,35,0.047
13,64,40,0.062
13,64,45,0.19499999999999998
13,64,50,0.267
13,72,10,0.0
13,72,15,0.001
13,72,20,0.0
13,72,25,0.001
13,72,30,0.001
13,72,35,0.0
13,72,40,0.006999999999999999
13,72,45,0.034
13,72,50,0.06899999999999999
13,80,10,0.0
13,80,15,0.0
13,80,20,0.0
13,80,25,0.009000000000000001
13,80,30,0.003
13,80,35,0.013
13,80,40,0.013
13,80,45,0.048
13,80,50,0.084
13,88,10,0.0
13,88,15,0.0
13,88,20,0.0
13,88,25,0.0
13,88,30,0.0
13,88,35,0.0
13,88,40,0.001
13,88,45,0.002
13,88,50,0.006999999999999999
13,96,10,0.0
13,96,15,0.013
13,96,20,0.005
13,96,25,0.013
13,96,30,0.094
13,96,35,0.05
13,96,40,0.099
13,96,45,0.084
13,96,50,0.117
13,104,10,0.0
13,104,15,0.0
13,104,20,0.0
13,104,25,0.0
13,104,30,0.001
13,104,35,0.0
13,104,40,0.002
13,104,45,0.001
13,104,50,0.002
13,112,10,0.0
13,112,15,0.001
13,112,20,0.0
13,112,25,0.006
13,112,30,0.009000000000000001
13,112,35,0.013999999999999999
13,112,40,0.013999999999999999
13,112,45,0.02
13,112,50,0.031
13,120,10,0.0
13,120,15,0.0
13,120,20,0.0
13,120,25,0.0
13,120,30,0.001
13,120,35,0.002
13,120,40,0.006999999999999999
13,120,45,0.006
13,120,50,0.013999999999999999
13,128,10,0.0
13,128,15,0.0
13,128,20,0.0
13,128,25,0.0
13,128,30,0.0
13,128,35,0.0
13,128,40,0.005
13,128,45,0.001
13,128,50,0.004
14,16,10,0.045
14,16,15,1.138
14,16,20,2.267
14,16,25,7.971
14,16,30,8.383000000000001
14,16,35,23.204
14,16,40,28.031
14,16,45,52.759
14,16,50,43.047000000000004
14,24,10,0.045
14,24,15,0.03
14,24,20,0.33899999999999997
14,24,25,0.828
14,24,30,2.041
14,24,35,5.433000000000001
14,24,40,5.034000000000001
14,24,45,10.427999999999999
14,24,50,23.003
14,32,10,0.008
14,32,15,0.036000000000000004
14,32,20,0.093
14,32,25,0.513
14,32,30,0.714
14,32,35,1.17
14,32,40,2.35
14,32,45,3.9309999999999996
14,32,50,7.562
14,40,10,0.0
14,40,15,0.0
14,40,20,0.0
14,40,25,0.011000000000000001
14,40,30,0.056999999999999995
14,40,35,0.19499999999999998
14,40,40,0.457
14,40,45,1.429
14,40,50,1.584
14,48,10,0.012
14,48,15,0.005
14,48,20,0.021
14,48,25,0.03
14,48,30,0.127
14,48,35,0.185
14,48,40,0.8019999999999999
14,48,45,0.612
14,48,50,0.814
14,56,10,0.001
14,56,15,0.0
14,56,20,0.004
14,56,25,0.013
14,56,30,0.024
14,56,35,0.046
14,56,40,0.107
14,56,45,0.20500000000000002
14,56,50,0.271
14,64,10,0.0
14,64,15,0.001
14,64,20,0.004
14,64,25,0.011000000000000001
14,64,30,0.063
14,64,35,0.021
14,64,40,0.049
14,64,45,0.148
14,64,50,0.208
14,72,10,0.0
14,72,15,0.0
14,72,20,0.0
14,72,25,0.0
14,72,30,0.002
14,72,35,0.002
14,72,40,0.006999999999999999
14,72,45,0.013999999999999999
14,72,50,0.106
14,80,10,0.0
14,80,15,0.001
14,80,20,0.001
14,80,25,0.0
14,80,30,0.001
14,80,35,0.018000000000000002
14,80,40,0.01
14,80,45,0.019
14,80,50,0.08800000000000001
14,88,10,0.0
14,88,15,0.0
14,88,20,0.0
14,88,25,0.0
14,88,30,0.0
14,88,35,0.0
14,88,40,0.0
14,88,45,0.001
14,88,50,0.001
14,96,10,0.0
14,96,15,0.003
14,96,20,0.005
14,96,25,0.009000000000000001
14,96,30,0.024
14,96,35,0.022000000000000002
14,96,40,0.042
14,96,45,0.083
14,96,50,0.094
14,104,10,0.0
14,104,15,0.0
14,104,20,0.0
14,104,25,0.0
14,104,30,0.0
14,104,35,0.0
14,104,40,0.001
14,104,45,0.0
14,104,50,0.0
14,112,10,0.0
14,112,15,0.0
14,112,20,0.001
14,112,25,0.008
14,112,30,0.004
14,112,35,0.009000000000000001
14,112,40,0.006999999999999999
14,112,45,0.027999999999999997
14,112,50,0.027999999999999997
14,120,10,0.0
14,120,15,0.001
14,120,20,0.0
14,120,25,0.0
14,120,30,0.001
14,120,35,0.001
14,120,40,0.008
14,120,45,0.005
14,120,50,0.006
14,128,10,0.0
14,128,15,0.0
14,128,20,0.0
14,128,25,0.0
14,128,30,0.0
14,128,35,0.0
14,128,40,0.005
14,128,45,0.001
14,128,50,0.002
15,16,10,0.034
15,16,15,1.932
15,16,20,3.9059999999999997
15,16,25,8.77
15,16,30,13.492
15,16,35,24.014
15,16,40,32.525
15,16,45,31.865
15,16,50,45.628
15,24,10,0.005
15,24,15,0.01
15,24,20,0.33
15,24,25,0.22699999999999998
15,24,30,1.206
15,24,35,2.281
15,24,40,7.997999999999999
15,24,45,13.173000000000002
15,24,50,12.014
15,32,10,0.008
15,32,15,0.033
15,32,20,0.331
15,32,25,0.712
15,32,30,2.1919999999999997
15,32,35,1.126
15,32,40,2.177
15,32,45,4.997
15,32,50,4.192
15,40,10,0.005
15,40,15,0.0
15,40,20,0.004
15,40,25,0.005
15,40,30,0.045
15,40,35,0.064
15,40,40,0.233
15,40,45,0.468
15,40,50,0.966
15,48,10,0.001
15,48,15,0.098
15,48,20,0.018000000000000002
15,48,25,0.025
15,48,30,0.108
15,48,35,0.159
15,48,40,0.5760000000000001
15,48,45,0.374
15,48,50,1.123
15,56,10,0.0
15,56,15,0.002
15,56,20,0.008
15,56,25,0.01
15,56,30,0.006999999999999999
15,56,35,0.02
15,56,40,0.06999999999999999
15,56,45,0.11800000000000001
15,56,50,0.158
15,64,10,0.0
15,64,15,0.0
15,64,20,0.0
15,64,25,0.001
15,64,30,0.011000000000000001
15,64,35,0.012
15,64,40,0.034999999999999996
15,64,45,0.07100000000000001
15,64,50,0.092
15,72,10,0.0
15,72,15,0.0
15,72,20,0.0
15,72,25,0.0
15,72,30,0.0
15,72,35,0.006
15,72,40,0.005
15,72,45,0.008
15,72,50,0.017
15,80,10,0.0
15,80,15,0.001
15,80,20,0.0
15,80,25,0.002
15,80,30,0.005
15,80,35,0.022000000000000002
15,80,40,0.017
15,80,45,0.018000000000000002
15,80,50,0.015
15,88,10,0.0
15,88,15,0.0
15,88,20,0.0
15,88,25,0.0
15,88,30,0.0
15,88,35,0.0
15,88,40,0.0
15,88,45,0.0
15,88,50,0.002
15,96,10,0.002
15,96,15,0.002
15,96,20,0.002
15,96,25,0.033
15,96,30,0.012
15,96,35,0.01
15,96,40,0.006999999999999999
15,96,45,0.034999999999999996
15,96,50,0.048
15,104,10,0.0
15,104,15,0.0
15,104,20,0.0
15,104,25,0.0
15,104,30,0.0
15,104,35,0.0
15,104,40,0.0
15,104,45,0.0
15,104,50,0.001
15,112,10,0.0
15,112,15,0.0
15,112,20,0.002
15,112,25,0.003
15,112,30,0.002
15,112,35,0.008
15,112,40,0.006999999999999999
15,112,45,0.006999999999999999
15,112,50,0.02
15,120,10,0.0
15,120,15,0.0
15,120,20,0.0
15,120,25,0.0
15,120,30,0.001
15,120,35,0.002
15,120,40,0.002
15,120,45,0.003
15,120,50,0.008
15,128,10,0.0
15,128,15,0.0
15,128,20,0.0
15,128,25,0.0
15,128,30,0.0
15,128,35,0.0
15,128,40,0.0
15,128,45,0.001
15,128,50,0.0
16,16,10,0.063
16,16,15,0.5309999999999999
16,16,20,3.689
16,16,25,2.26
16,16,30,9.138
16,16,35,28.418
16,16,40,21.526
16,16,45,39.422000000000004
16,16,50,46.96
16,24,10,0.006999999999999999
16,24,15,0.009000000000000001
16,24,20,0.123
16,24,25,0.302
16,24,30,1.677
16,24,35,1.517
16,24,40,3.283
16,24,45,9.62
16,24,50,8.15
16,32,10,0.006999999999999999
16,32,15,0.029
16,32,20,0.109
16,32,25,0.25
16,32,30,0.28300000000000003
16,32,35,1.358
16,32,40,3.108
16,32,45,2.926
16,32,50,4.519
16,40,10,0.0
16,40,15,0.001
16,40,20,0.001
16,40,25,0.002
16,40,30,0.005
16,40,35,0.062
16,40,40,0.27
16,40,45,0.599
16,40,50,1.1480000000000001
16,48,10,0.001
16,48,15,0.002
16,48,20,0.002
16,48,25,0.049
16,48,30,0.025
16,48,35,0.048
16,48,40,0.22899999999999998
16,48,45,0.393
16,48,50,0.972
16,56,10,0.0
16,56,15,0.003
16,56,20,0.001
16,56,25,0.01
16,56,30,0.027999999999999997
16,56,35,0.016
16,56,40,0.146
16,56,45,0.065
16,56,50,0.20500000000000002
16,64,10,0.001
16,64,15,0.001
16,64,20,0.002
16,64,25,0.001
16,64,30,0.001
16,64,35,0.005
16,64,40,0.027
16,64,45,0.026
16,64,50,0.197
16,72,10,0.0
16,72,15,0.0
16,72,20,0.0
16,72,25,0.0
16,72,30,0.002
16,72,35,0.0
16,72,40,0.002
16,72,45,0.01
16,72,50,0.011000000000000001
16,80,10,0.0
16,80,15,0.0
16,80,20,0.0
16,80,25,0.001
16,80,30,0.002
16,80,35,0.002
16,80,40,0.004
16,80,45,0.005
16,80,50,0.005
16,88,10,0.0
16,88,15,0.0
16,88,20,0.0
16,88,25,0.0
16,88,30,0.0
16,88,35,0.0
16,88,40,0.0
16,88,45,0.0
16,88,50,0.0
16,96,10,0.0
16,96,15,0.0
16,96,20,0.002
16,96,25,0.01
16,96,30,0.009000000000000001
16,96,35,0.01
16,96,40,0.018000000000000002
16,96,45,0.013999999999999999
16,96,50,0.043
16,104,10,0.0
16,104,15,0.0
16,104,20,0.0
16,104,25,0.0
16,104,30,0.0
16,104,35,0.0
16,104,40,0.0
16,104,45,0.0
16,104,50,0.0
16,112,10,0.0
16,112,15,0.0
16,112,20,0.003
16,112,25,0.0
16,112,30,0.0
16,112,35,0.0
16,112,40,0.008
16,112,45,0.013999999999999999
16,112,50,0.005
16,120,10,0.0
16,120,15,0.0
16,120,20,0.001
16,120,25,0.001
16,120,30,0.0
16,120,35,0.001
16,120,40,0.001
16,120,45,0.009000000000000001
16,120,50,0.012
16,128,10,0.0
16,128,15,0.0
16,128,20,0.0
16,128,25,0.0
16,128,30,0.0
16,128,35,0.0
16,128,40,0.0
16,128,45,0.0
16,128,50,0.0
